timestamp_s,node_id,severity,metric,observed_value,threshold
126,access-07,critical,packet_loss_percent,2.510074,2.0
127,access-07,major,latency_ms,87.126231,80.0
127,access-07,critical,packet_loss_percent,3.264776,2.0
128,access-07,major,latency_ms,103.700469,80.0
128,access-07,critical,packet_loss_percent,4.068971,2.0
129,access-07,major,latency_ms,120.845583,80.0
129,access-07,critical,packet_loss_percent,4.883663,2.0
130,access-07,major,latency_ms,121.51305,80.0
130,access-07,critical,packet_loss_percent,4.850998,2.0
131,access-07,major,latency_ms,121.200055,80.0
131,access-07,critical,packet_loss_percent,4.928051,2.0
132,access-07,major,latency_ms,121.418274,80.0
132,access-07,critical,packet_loss_percent,4.892117,2.0
133,access-07,major,latency_ms,120.890307,80.0
133,access-07,critical,packet_loss_percent,4.867177,2.0
134,access-07,major,latency_ms,121.775306,80.0
134,access-07,critical,packet_loss_percent,4.852339,2.0
135,access-07,major,latency_ms,120.578048,80.0
135,access-07,critical,packet_loss_percent,4.847907,2.0
136,access-07,major,latency_ms,121.07978,80.0
136,access-07,critical,packet_loss_percent,4.89402,2.0
137,access-07,major,latency_ms,121.733783,80.0
137,access-07,critical,packet_loss_percent,4.842673,2.0
138,access-07,major,latency_ms,121.976525,80.0
138,access-07,critical,packet_loss_percent,4.880704,2.0
139,access-07,major,latency_ms,121.749912,80.0
139,access-07,critical,packet_loss_percent,4.870765,2.0
140,access-07,major,latency_ms,122.340392,80.0
140,access-07,critical,packet_loss_percent,4.845577,2.0
141,access-07,major,latency_ms,121.585423,80.0
141,access-07,critical,packet_loss_percent,4.847775,2.0
142,access-07,major,latency_ms,121.095014,80.0
142,access-07,critical,packet_loss_percent,4.845807,2.0
143,access-07,major,latency_ms,122.104521,80.0
143,access-07,critical,packet_loss_percent,4.854776,2.0
144,access-07,major,latency_ms,121.646827,80.0
144,access-07,critical,packet_loss_percent,4.916832,2.0
145,access-07,major,latency_ms,121.640659,80.0
145,access-07,critical,packet_loss_percent,4.858593,2.0
146,access-07,major,latency_ms,121.716228,80.0
146,access-07,critical,packet_loss_percent,4.897759,2.0
147,access-07,major,latency_ms,121.213878,80.0
147,access-07,critical,packet_loss_percent,4.852466,2.0
148,access-07,major,latency_ms,121.71319,80.0
148,access-07,critical,packet_loss_percent,4.90823,2.0
149,access-07,major,latency_ms,122.363473,80.0
149,access-07,critical,packet_loss_percent,4.892757,2.0
150,access-07,major,latency_ms,122.231748,80.0
150,access-07,critical,packet_loss_percent,4.878851,2.0
151,access-07,major,latency_ms,122.450847,80.0
151,access-07,critical,packet_loss_percent,4.895443,2.0
152,access-07,major,latency_ms,121.74381,80.0
152,access-07,critical,packet_loss_percent,4.865259,2.0
153,access-07,major,latency_ms,121.838973,80.0
153,access-07,critical,packet_loss_percent,4.861092,2.0
154,access-07,major,latency_ms,121.706749,80.0
154,access-07,critical,packet_loss_percent,4.923206,2.0
155,access-07,major,latency_ms,121.597429,80.0
155,access-07,critical,packet_loss_percent,4.917034,2.0
156,access-07,major,latency_ms,122.789347,80.0
156,access-07,critical,packet_loss_percent,4.819367,2.0
157,access-07,major,latency_ms,122.070983,80.0
157,access-07,critical,packet_loss_percent,4.891393,2.0
158,access-07,major,latency_ms,121.408098,80.0
158,access-07,critical,packet_loss_percent,4.873516,2.0
159,access-07,major,latency_ms,122.577439,80.0
159,access-07,critical,packet_loss_percent,4.863391,2.0
160,access-07,major,latency_ms,122.354434,80.0
160,access-07,critical,packet_loss_percent,4.869507,2.0
161,access-07,major,latency_ms,122.143745,80.0
161,access-07,critical,packet_loss_percent,4.880886,2.0
162,access-07,major,latency_ms,122.321512,80.0
162,access-07,critical,packet_loss_percent,4.880427,2.0
163,access-07,major,latency_ms,122.71756,80.0
163,access-07,critical,packet_loss_percent,4.876684,2.0
164,access-07,major,latency_ms,122.622687,80.0
164,access-07,critical,packet_loss_percent,4.882558,2.0
165,access-07,major,latency_ms,122.254232,80.0
165,access-07,critical,packet_loss_percent,4.854941,2.0
166,access-07,major,latency_ms,124.053405,80.0
166,access-07,critical,packet_loss_percent,4.910999,2.0
167,access-07,major,latency_ms,122.304348,80.0
167,access-07,critical,packet_loss_percent,4.868437,2.0
168,access-07,major,latency_ms,123.897347,80.0
168,access-07,critical,packet_loss_percent,4.826517,2.0
169,access-07,major,latency_ms,122.302834,80.0
169,access-07,critical,packet_loss_percent,4.901246,2.0
170,access-07,major,latency_ms,122.504725,80.0
170,access-07,critical,packet_loss_percent,4.855299,2.0
171,access-07,major,latency_ms,123.40883,80.0
171,access-07,critical,packet_loss_percent,4.885117,2.0
172,access-07,major,latency_ms,122.78799,80.0
172,access-07,critical,packet_loss_percent,4.846218,2.0
173,access-07,major,latency_ms,122.705933,80.0
173,access-07,critical,packet_loss_percent,4.877825,2.0
174,access-07,major,latency_ms,123.397027,80.0
174,access-07,critical,packet_loss_percent,4.844028,2.0
175,access-07,major,latency_ms,123.33424,80.0
175,access-07,critical,packet_loss_percent,4.854166,2.0
176,access-07,major,latency_ms,123.712585,80.0
176,access-07,critical,packet_loss_percent,4.896708,2.0
177,access-07,major,latency_ms,123.170644,80.0
177,access-07,critical,packet_loss_percent,4.845216,2.0
178,access-07,major,latency_ms,123.122152,80.0
178,access-07,critical,packet_loss_percent,4.83637,2.0
179,access-07,major,latency_ms,123.337612,80.0
179,access-07,critical,packet_loss_percent,4.852837,2.0
180,access-07,major,latency_ms,123.335399,80.0
180,access-07,critical,packet_loss_percent,4.900695,2.0
181,access-07,major,latency_ms,124.179271,80.0
181,access-07,critical,packet_loss_percent,4.865906,2.0
182,access-07,major,latency_ms,124.163945,80.0
182,access-07,critical,packet_loss_percent,4.847691,2.0
183,access-07,major,latency_ms,123.61519,80.0
183,access-07,critical,packet_loss_percent,4.878967,2.0
