scenario_id,target_id,predicted_services,ground_truth_services,precision,recall,f1_score,jaccard_similarity,predicted_bri_percent,ground_truth_bri_percent,bri_absolute_error
sc-01-edge-gw-01-down,edge-gw-01,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-02-core-sw-01-loss,core-sw-01,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-03-core-sw-02-lat,core-sw-02,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-04-dist-campus-01-cpu,dist-sw-campus-01,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-05-dist-campus-02-throttle,dist-sw-campus-02,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-06-dist-dc-01-down,dist-sw-dc-01,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-07-dist-dc-02-loss,dist-sw-dc-02,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-08-acc-hq-01-mem,acc-sw-hq-01,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-09-acc-dc-01-lat,acc-sw-dc-01,"['srv-api', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,47.06,47.06,0.0
sc-10-host-erp-down,host-erp,['srv-erp'],['srv-erp'],1.0,1.0,1.0,1.0,17.65,17.65,0.0
sc-11-host-api-cpu,host-api,"['srv-api', 'srv-erp']","['srv-api', 'srv-erp']",1.0,1.0,1.0,1.0,35.29,35.29,0.0
sc-12-host-db-mem,host-db,"['srv-api', 'srv-db', 'srv-erp']","['srv-api', 'srv-db', 'srv-erp']",1.0,1.0,1.0,1.0,52.94,52.94,0.0
sc-13-host-dns-down,host-dns,"['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp']",1.0,1.0,1.0,1.0,88.24,88.24,0.0
sc-14-multi-campus-dist-acc,"('dist-sw-campus-01', 'acc-sw-hq-01')","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
sc-15-multi-campus-dc,"('host-dns', 'acc-sw-hq-02')","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']","['srv-api', 'srv-auth', 'srv-db', 'srv-dns', 'srv-erp', 'srv-monitoring']",1.0,1.0,1.0,1.0,100.0,100.0,0.0
