scenario_id,scenario_kind,true_roots,missing_rate,false_alarm_count,trial,observed_alarm_count,global_predicted_roots,correlated_predicted_roots,global_root_recall,correlated_root_recall,global_exact_match,correlated_exact_match,true_service_count,predicted_service_count,service_recall,service_jaccard
independent-01,independent,access-02;access-07,0.0,0,0,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,1,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,2,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,3,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,4,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,5,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,6,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,7,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,8,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,9,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,10,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,11,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,12,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,13,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,14,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,15,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,16,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
independent-01,independent,access-02;access-07,0.0,0,17,2,access-02;access-07,access-02;access-07,1.0,1.0,1.0,1.0,2,2,1.0,1.0
