root_role,missing_rate,false_alarm_count,trial_count,topology_top1_accuracy,temporal_top1_accuracy,topology_top3_accuracy,temporal_top3_accuracy
access,0.0,0,360,1.0,1.0,1.0,1.0
access,0.0,2,360,0.2361111111111111,0.30833333333333335,0.8944444444444445,0.9111111111111111
access,0.0,4,360,0.09444444444444444,0.175,0.525,0.7083333333333334
access,0.2,0,360,0.7888888888888889,0.7888888888888889,0.8138888888888889,0.8138888888888889
access,0.2,2,360,0.2361111111111111,0.2638888888888889,0.7583333333333333,0.7555555555555555
access,0.2,4,360,0.06111111111111111,0.1361111111111111,0.48333333333333334,0.6027777777777777
access,0.4,0,360,0.5638888888888889,0.5638888888888889,0.6277777777777778,0.6277777777777778
access,0.4,2,360,0.175,0.21944444444444444,0.5555555555555556,0.5694444444444444
access,0.4,4,360,0.058333333333333334,0.12777777777777777,0.3416666666666667,0.3888888888888889
aggregation,0.0,0,120,1.0,1.0,1.0,1.0
aggregation,0.0,2,120,0.9833333333333333,0.9916666666666667,1.0,1.0
aggregation,0.0,4,120,0.8166666666666667,0.9666666666666667,1.0,1.0
aggregation,0.2,0,120,0.9833333333333333,0.9833333333333333,1.0,1.0
aggregation,0.2,2,120,0.7833333333333333,0.8916666666666667,0.9083333333333333,0.975
aggregation,0.2,4,120,0.5916666666666667,0.8333333333333334,0.875,0.8916666666666667
aggregation,0.4,0,120,0.8833333333333333,0.8833333333333333,0.9833333333333333,0.9833333333333333
aggregation,0.4,2,120,0.525,0.7166666666666667,0.625,0.8333333333333334
aggregation,0.4,4,120,0.3333333333333333,0.5833333333333334,0.5333333333333333,0.675
core,0.0,0,60,1.0,1.0,1.0,1.0
core,0.0,2,60,1.0,1.0,1.0,1.0
core,0.0,4,60,1.0,1.0,1.0,1.0
core,0.2,0,60,1.0,1.0,1.0,1.0
core,0.2,2,60,1.0,1.0,1.0,1.0
core,0.2,4,60,0.9333333333333333,0.95,1.0,1.0
core,0.4,0,60,0.9833333333333333,0.9833333333333333,1.0,1.0
core,0.4,2,60,0.9,0.9166666666666666,1.0,1.0
core,0.4,4,60,0.85,0.9,0.9333333333333333,0.9833333333333333
